Settings: {"threads":4,"sourcedir":"C:\\Users\\pfeeney\\Desktop\\test","destdir":"C:\\Users\\pfeeney\\Desktop\\dest","nowriteoutput":false,"iterations":200,"conversion_host":"http://localhost:19060/PCCIS","min_avail":null,"workfile_host":"http://localhost:19020/PCCIS","workfile_exp":"1d","dest_format":"png,jpeg,svg,pdf,tiff","dest_opts_file":"C:/Users/pfeeney/Desktop/opts.json","filter":".*"}
File,Duration,Success
C:\Users\pfeeney\Desktop\test\r04.msg,0.674,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.12,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.461,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.129,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.089,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,0.129,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,0.137,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.786,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.89,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,1.991,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.673,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.675,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.135,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.459,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.788,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,1.981,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.476,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.577,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.27,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.38,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.804,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.79,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.309,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,0.128,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.354,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.62,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.013,False,Error: Failed to create Conversion Process. HTTP: 480 - {"input":{"src":{"fileId":"cgdkavVblOM0VPjyk0qYhw"},"dest":{"format":"pdf","pdfOptions":{"forceOneFilePerPage":false}}},"minSecondsAvailable":86400,"errorCode":"UnsupportedConversion","errorDetails":{"in":"body","at":"input.dest.format","expected":{"enum":["svg","png","jpeg","tiff"]}}}
C:\Users\pfeeney\Desktop\test\100e.dwg,0.139,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.249,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.117,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.471,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.128,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.865,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.899,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.091,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.777,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.787,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.135,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.772,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.573,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.911,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.38,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.373,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.688,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.686,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.309,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.616,True,OK
